paradigm,visibility,stim_type,voltage,sub_num,IB
masking,visible,f,5.244043944,sub15,no
masking,visible,f,-1.731532777,sub15,no
masking,visible,f,-8.207033462,sub15,no
masking,visible,f,-0.311301649,sub15,no
masking,visible,f,-6.415510117,sub15,no
masking,visible,f,-3.802399043,sub15,no
masking,visible,f,0.903905008,sub15,no
masking,visible,f,-0.370773911,sub15,no
masking,visible,f,-4.911484848,sub15,no
masking,visible,f,-3.879918088,sub15,no
masking,visible,f,0.465454539,sub15,no
masking,visible,f,0.066354653,sub15,no
masking,visible,f,-0.875250249,sub15,no
masking,visible,f,-5.21934076,sub15,no
masking,visible,f,-6.907022532,sub15,no
masking,visible,f,0.896398152,sub15,no
masking,visible,f,-4.600814515,sub15,no
masking,visible,f,-0.939301126,sub15,no
masking,visible,f,-4.659160007,sub15,no
masking,visible,f,3.419345582,sub15,no
masking,visible,f,-2.168136718,sub15,no
masking,visible,f,3.416043262,sub15,no
masking,visible,f,-5.638348883,sub15,no
masking,visible,f,-5.328806575,sub15,no
masking,visible,f,-1.909062884,sub15,no
masking,visible,f,-2.3644752,sub15,no
masking,visible,f,-0.351578289,sub15,no
masking,visible,f,2.70055612,sub15,no
masking,visible,f,-0.237749071,sub15,no
masking,visible,f,-5.18226417,sub15,no
masking,visible,f,-0.101099994,sub16,yes
masking,visible,f,2.025417683,sub16,yes
masking,visible,f,18.97632679,sub16,yes
masking,visible,f,-2.137886498,sub16,yes
masking,visible,f,0.933773606,sub16,yes
masking,visible,f,5.79355204,sub16,yes
masking,visible,f,-0.978359295,sub16,yes
masking,visible,f,4.829794898,sub16,yes
masking,visible,f,3.109633452,sub16,yes
masking,visible,f,12.47624497,sub16,yes
masking,visible,f,7.329705835,sub16,yes
masking,visible,f,1.972438598,sub16,yes
masking,visible,f,9.498922683,sub16,yes
masking,visible,f,2.268337492,sub16,yes
masking,visible,f,8.952857959,sub16,yes
masking,visible,f,4.741328589,sub16,yes
masking,visible,f,2.00934183,sub16,yes
masking,visible,f,2.604890595,sub16,yes
masking,visible,f,5.147124772,sub16,yes
masking,visible,f,6.878336168,sub16,yes
masking,visible,f,-1.919987003,sub16,yes
masking,visible,f,1.578701784,sub16,yes
masking,visible,f,2.07575475,sub16,yes
masking,visible,f,8.745066298,sub16,yes
masking,visible,f,3.231478955,sub16,yes
masking,visible,f,-4.162049844,sub16,yes
masking,visible,f,1.435162683,sub16,yes
masking,visible,f,8.468454331,sub16,yes
masking,visible,f,8.918577233,sub16,yes
masking,visible,f,2.90141189,sub16,yes
masking,visible,f,1.126339652,sub16,yes
masking,visible,f,0.277490332,sub16,yes
masking,visible,f,3.896608644,sub16,yes
masking,visible,f,3.761049138,sub16,yes
masking,visible,f,1.455143961,sub16,yes
masking,visible,f,-0.585709753,sub16,yes
masking,visible,f,3.834371189,sub16,yes
masking,visible,f,-0.832930261,sub16,yes
masking,visible,f,-0.060685179,sub16,yes
masking,visible,f,-1.438023228,sub16,yes
